Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,churn
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied,1
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,1
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,1
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Unknown,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,1
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,Unknown,Interview,Both,Shorter,Ok,1
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,Unknown,Both,Shorter,Ok,1
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,Unknown,Conversational,Both,Both,Ok,1
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,0
12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,Comedy,Story telling,Unknown,Both,Satisfied,1
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok,1
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,0
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,Unknown,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,Unknown,Well known individuals,Shorter,Ok,1
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied,1
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Unknown,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok,1
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied,1
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Unknown,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,1
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,1
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,Unknown,Unknown,Satisfied,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied,1
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,Unknown,Unknown,Unknown,Unknown,Satisfied,0
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Unknown,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied,0
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied,1
12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Unknown,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok,1
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,0
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,1
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok,1
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Unknown,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,1
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,0
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied,0
35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,Unknown,Shorter,Ok,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied,0
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok,1
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied,1
12-20,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,Unknown,Both,Shorter,Ok,1
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied,0
12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Unknown,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok,1
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied,1
35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Unknown,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,Unknown,Both,Longer,Satisfied,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied,1
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Unknown,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,Unknown,Unknown,Ok,1
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok,1
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,Unknown,Both,Shorter,Ok,1
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,0
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,Unknown,Story telling,Unknown,Unknown,Very Satisfied,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Unknown,Story telling,Unknown,Unknown,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,1
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Unknown,Interview,Unknown,Unknown,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,Unknown,Educational,Both,Shorter,Satisfied,1
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,Unknown,Educational,Well known individuals,Shorter,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied,0
